file,category,name,name_source,matched_code,matched_class,matched_phrase
10_allpole/100_folio_referencing/01coming_arrow.elmt,10_allpole/100_folio_referencing,Coming arrow,en,,,
10_allpole/100_folio_referencing/02going_arrow.elmt,10_allpole/100_folio_referencing,Going arrow,en,,,
10_allpole/100_folio_referencing/m_cable_folio_from_h.elmt,10_allpole/100_folio_referencing,Multi wire cable previous folio horizontal,en,W,guiding object,cable
10_allpole/100_folio_referencing/m_cable_folio_next_h.elmt,10_allpole/100_folio_referencing,Multi wire cable next folio horizontal,en,W,guiding object,cable
10_allpole/110_network_supplies/3_pen_pravy.elmt,10_allpole/110_network_supplies,Three-pole source + PEN,en,,,
10_allpole/110_network_supplies/3f_n_pe_pravy.elmt,10_allpole/110_network_supplies,Three-pole source + N + PE,en,,,
10_allpole/110_network_supplies/ground1.elmt,10_allpole/110_network_supplies,Ground,en,,,
10_allpole/110_network_supplies/masse.elmt,10_allpole/110_network_supplies,Chassis,en,,,
10_allpole/110_network_supplies/src_1p_pe_n.elmt,10_allpole/110_network_supplies,Single-pole source + PE +N,en,,,
10_allpole/110_network_supplies/src_1p_pen.elmt,10_allpole/110_network_supplies,Single-pole source +PEN,en,,,
10_allpole/110_network_supplies/src_1pn.elmt,10_allpole/110_network_supplies,Single-pole source + neutral,en,,,
10_allpole/110_network_supplies/src_3p.elmt,10_allpole/110_network_supplies,Three-pole source,en,,,
10_allpole/110_network_supplies/src_3p_pe_n.elmt,10_allpole/110_network_supplies,Three-pole source + PE +N,en,,,
10_allpole/110_network_supplies/src_3p_pen.elmt,10_allpole/110_network_supplies,Three-pole source + PEN,en,,,
10_allpole/110_network_supplies/src_3pn.elmt,10_allpole/110_network_supplies,Three-pole source + neutral,en,,,
10_allpole/110_network_supplies/src_3ppe.elmt,10_allpole/110_network_supplies,Three-pole source + PE,en,,,
10_allpole/110_network_supplies/src_n.elmt,10_allpole/110_network_supplies,Neutral source,en,,,
10_allpole/110_network_supplies/src_p.elmt,10_allpole/110_network_supplies,Phase source,en,,,
10_allpole/110_network_supplies/src_tnc_tns.elmt,10_allpole/110_network_supplies,Distribution point TN-C >TN-S,en,,,
10_allpole/110_network_supplies/terre.elmt,10_allpole/110_network_supplies,Ground,en,,,
10_allpole/114_connections/bod.elmt,10_allpole/114_connections,connection,en,,,
10_allpole/114_connections/combine.elmt,10_allpole/114_connections,Combine,en,,,
10_allpole/114_connections/corner.elmt,10_allpole/114_connections,Corner,en,,,
10_allpole/114_connections/cross.elmt,10_allpole/114_connections,Cross,en,,,
10_allpole/114_connections/jump.elmt,10_allpole/114_connections,Jump,en,,,
10_allpole/114_connections/lphd.elmt,10_allpole/114_connections,Connecteur pour quatre fils,fr,X,interfacing object,connecteur
10_allpole/114_connections/splice.elmt,10_allpole/114_connections,Splice,en,,,
10_allpole/114_connections/thruleft.elmt,10_allpole/114_connections,Thru left,en,,,
10_allpole/114_connections/thruright.elmt,10_allpole/114_connections,Thru right,en,,,
10_allpole/120_cables_wiring/cable.elmt,10_allpole/120_cables_wiring,Cable 2 phases+terre,fr,W,guiding object,cable
10_allpole/120_cables_wiring/cable1.elmt,10_allpole/120_cables_wiring,Cable 3 phases+terre,fr,W,guiding object,cable
10_allpole/120_cables_wiring/cable2.elmt,10_allpole/120_cables_wiring,Cable 2 phases+terre,fr,W,guiding object,cable
10_allpole/120_cables_wiring/cable3.elmt,10_allpole/120_cables_wiring,Cable 4G,fr,W,guiding object,cable
10_allpole/120_cables_wiring/cable5.elmt,10_allpole/120_cables_wiring,Cable 5G,fr,W,guiding object,cable
10_allpole/120_cables_wiring/cable6.elmt,10_allpole/120_cables_wiring,Cable 3G,fr,W,guiding object,cable
10_allpole/120_cables_wiring/cable_3wires.elmt,10_allpole/120_cables_wiring,Cable 3 wires,en,W,guiding object,cable
10_allpole/120_cables_wiring/ecran_3p.elmt,10_allpole/120_cables_wiring,Screen,en,,,
10_allpole/120_cables_wiring/fil_de_cable.elmt,10_allpole/120_cables_wiring,Wire of cable,en,W,guiding object,cable
10_allpole/120_cables_wiring/filerie.elmt,10_allpole/120_cables_wiring,Wiring,en,,,
10_allpole/120_cables_wiring/kabel3g.elmt,10_allpole/120_cables_wiring,Cable 3G,en,W,guiding object,cable
10_allpole/120_cables_wiring/kabel4g.elmt,10_allpole/120_cables_wiring,Cable 4G,en,W,guiding object,cable
10_allpole/120_cables_wiring/kabel7g.elmt,10_allpole/120_cables_wiring,Cable 7G,en,W,guiding object,cable
10_allpole/120_cables_wiring/kabel8g.elmt,10_allpole/120_cables_wiring,Cable 8G,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_02p_demux.elmt,10_allpole/120_cables_wiring,Multi wire cable 2-pole Demux,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_02p_demux_40px.elmt,10_allpole/120_cables_wiring,Multi wire cable 2-pole Demux 40px,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_02p_mux.elmt,10_allpole/120_cables_wiring,Multi wire cable 2-pole Mux,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_02p_mux_40px.elmt,10_allpole/120_cables_wiring,Multi wire cable 2-pole Mux 40px,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_03p_demux.elmt,10_allpole/120_cables_wiring,Multi wire cable 3-pole Demux,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_03p_demux_40px.elmt,10_allpole/120_cables_wiring,Multi wire cable 3-pole Demux 40px,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_03p_mux.elmt,10_allpole/120_cables_wiring,Multi wire cable 3-pole Mux,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_03p_mux_40px.elmt,10_allpole/120_cables_wiring,Multi wire cable 3-pole Mux 40px,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_04p_demux.elmt,10_allpole/120_cables_wiring,Multi wire cable 4-pole Demux,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_04p_demux_40px.elmt,10_allpole/120_cables_wiring,Multi wire cable 4-pole Demux 40px,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_04p_mux.elmt,10_allpole/120_cables_wiring,Multi wire cable 4-pole Mux,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_04p_mux_40px.elmt,10_allpole/120_cables_wiring,Multi wire cable 4-pole Mux 40px,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_05p_demux.elmt,10_allpole/120_cables_wiring,Multi wire cable 5-pole Demux,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_05p_demux_40px.elmt,10_allpole/120_cables_wiring,Multi wire cable 5-pole Demux 40px,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_05p_mux.elmt,10_allpole/120_cables_wiring,Multi wire cable 5-pole Mux,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_05p_mux_40px.elmt,10_allpole/120_cables_wiring,Multi wire cable 5-pole Mux 40px,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_06p_demux.elmt,10_allpole/120_cables_wiring,Multi wire cable 6-pole Demux,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_06p_demux_40px.elmt,10_allpole/120_cables_wiring,Multi wire cable 6-pole Demux 40px,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_06p_mux.elmt,10_allpole/120_cables_wiring,Multi wire cable 6-pole Mux,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_06p_mux_40px.elmt,10_allpole/120_cables_wiring,Multi wire cable 6-pole Mux 40px,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_07_mux_40px.elmt,10_allpole/120_cables_wiring,Multi wire cable 7-pole Mux 40px,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_07p_demux.elmt,10_allpole/120_cables_wiring,Multi wire cable 7-pole Demux,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_07p_demux_40px.elmt,10_allpole/120_cables_wiring,Multi wire cable 7-pole Demux 40px,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_07p_mux.elmt,10_allpole/120_cables_wiring,Multi wire cable 7-pole Mux,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_08p_demux.elmt,10_allpole/120_cables_wiring,Multi wire cable 8-pole Demux,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_08p_demux_40px.elmt,10_allpole/120_cables_wiring,Multi wire cable 8-pole Demux 40px,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_08p_mux.elmt,10_allpole/120_cables_wiring,Multi wire cable 8-pole Mux,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_08p_mux_40px.elmt,10_allpole/120_cables_wiring,Multi wire cable 8-pole Mux 40px,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_09p_demux.elmt,10_allpole/120_cables_wiring,Multi wire cable 9-pole Demux,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_09p_demux_40px.elmt,10_allpole/120_cables_wiring,Multi wire cable 9-pole Demux 40px,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_09p_mux.elmt,10_allpole/120_cables_wiring,Multi wire cable 9-pole Mux,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_09p_mux_40px.elmt,10_allpole/120_cables_wiring,Multi wire cable 9-pole Mux 40px,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_10p_demux.elmt,10_allpole/120_cables_wiring,Multi wire cable 10-pole Demux,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_10p_demux_40px.elmt,10_allpole/120_cables_wiring,Multi wire cable 10-pole Demux 40px,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_10p_mux.elmt,10_allpole/120_cables_wiring,Multi wire cable 10-pole Mux,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_10p_mux_40px.elmt,10_allpole/120_cables_wiring,Multi wire cable 10-pole Mux 40px,en,W,guiding object,cable
10_allpole/120_cables_wiring/m_cable_designation.elmt,10_allpole/120_cables_wiring,Multi wire cable designation,en,W,guiding object,cable
10_allpole/120_cables_wiring/nomenclature_section.elmt,10_allpole/120_cables_wiring,Wiring section,en,,,
10_allpole/120_cables_wiring/section1conducteur.elmt,10_allpole/120_cables_wiring,Section 1 conducteur,fr,,,
10_allpole/120_cables_wiring/section2-1conducteurs.elmt,10_allpole/120_cables_wiring,Section 2 conducteurs,fr,,,
10_allpole/120_cables_wiring/section2conducteurs.elmt,10_allpole/120_cables_wiring,Section 2 conducteurs,fr,,,
10_allpole/120_cables_wiring/section3.elmt,10_allpole/120_cables_wiring,Section 3 conducteurs,fr,,,
10_allpole/130_terminals_terminal_strips/90_terminal_strips_diagram/90-10-0101.elmt,10_allpole/130_terminals_terminal_strips/90_terminal_strips_diagram,Terminal strip label,en,X,interfacing object,terminal
10_allpole/130_terminals_terminal_strips/90_terminal_strips_diagram/90-10-0111.elmt,10_allpole/130_terminals_terminal_strips/90_terminal_strips_diagram,Terminal (feed-through),en,X,interfacing object,terminal
10_allpole/130_terminals_terminal_strips/90_terminal_strips_diagram/90-10-0121.elmt,10_allpole/130_terminals_terminal_strips/90_terminal_strips_diagram,Terminal (Grounding),en,X,interfacing object,terminal
10_allpole/130_terminals_terminal_strips/90_terminal_strips_diagram/90-10-0151.elmt,10_allpole/130_terminals_terminal_strips/90_terminal_strips_diagram,Discontinuation terminal strip,en,X,interfacing object,terminal
10_allpole/130_terminals_terminal_strips/90_terminal_strips_diagram/90-10-0211.elmt,10_allpole/130_terminals_terminal_strips/90_terminal_strips_diagram,Terminal double-level (feed-through),en,X,interfacing object,terminal
10_allpole/130_terminals_terminal_strips/90_terminal_strips_diagram/90-10-0501.elmt,10_allpole/130_terminals_terminal_strips/90_terminal_strips_diagram,Insertion bridge,en,,,
10_allpole/130_terminals_terminal_strips/90_terminal_strips_diagram/90-10-0502.elmt,10_allpole/130_terminals_terminal_strips/90_terminal_strips_diagram,Insertion bridge (double width),en,,,
10_allpole/130_terminals_terminal_strips/90_terminal_strips_diagram/90-10-0901.elmt,10_allpole/130_terminals_terminal_strips/90_terminal_strips_diagram,Connector 25 pins,en,X,interfacing object,connector
10_allpole/130_terminals_terminal_strips/90_terminal_strips_diagram/90-20-0001.elmt,10_allpole/130_terminals_terminal_strips/90_terminal_strips_diagram,Device (connection on bottom),en,,,
10_allpole/130_terminals_terminal_strips/90_terminal_strips_diagram/90-20-0002.elmt,10_allpole/130_terminals_terminal_strips/90_terminal_strips_diagram,Device (connection on top),en,,,
